Date,Total Tests,Daily Tests (ECLRS),New Positive Cases (TCHD),Total Positive Cases (TCHD),Released from Isolation (TCHD),Active Cases (TCHD),Active COVID-19 Hospitalizations (CHS),Total TC Resident Deaths (TCHD),Total Vaccinations 1st Dose,Total Vaccinations Completed,NYS Vaccine Tracker: Tompkins County 1st Dose,NYS Vaccine Tracker: Tompkins County Complete Series,Reported Positive Self-Tests,Total Positive Self-Tests
3/14/20,,,,1.0,,,,,,,,,,
3/15/20,46.0,,0.0,1.0,,,,,,,,,,
3/16/20,51.0,,1.0,2.0,,,,,,,,,,
3/17/20,107.0,,1.0,3.0,,,,,,,,,,
3/18/20,145.0,,3.0,6.0,,,,,,,,,,
3/19/20,279.0,,0.0,6.0,,,,,,,,,,
3/20/20,379.0,,5.0,11.0,,,,,,,,,,
3/21/20,449.0,,1.0,12.0,,,,,,,,,,
3/22/20,451.0,,3.0,15.0,,,,,,,,,,
3/23/20,592.0,,1.0,16.0,,,,,,,,,,
3/24/20,666.0,,,18.0,,,,,,,,,,
3/25/20,731.0,,5.0,23.0,,,,,,,,,,
3/26/20,1009.0,,9.0,32.0,,,,,,,,,,
3/27/20,1191.0,,16.0,48.0,,,,,,,,,,
3/28/20,1191.0,,8.0,56.0,,,2.0,,,,,,,
3/29/20,1197.0,,14.0,70.0,,,2.0,,,,,,,
3/30/20,1369.0,,3.0,73.0,,,1.0,,,,,,,
3/31/20,1419.0,,3.0,76.0,28.0,48.0,1.0,,,,,,,
4/1/20,1480.0,,4.0,80.0,33.0,47.0,1.0,,,,,,,
4/2/20,1553.0,,7.0,87.0,46.0,41.0,2.0,,,,,,,
4/3/20,1620.0,,6.0,93.0,51.0,42.0,2.0,,,,,,,
4/4/20,1626.0,,2.0,95.0,54.0,41.0,2.0,,,,,,,
4/5/20,1637.0,,3.0,98.0,57.0,41.0,1.0,,,,,,,
4/6/20,1988.0,,4.0,102.0,66.0,36.0,3.0,,,,,,,
4/7/20,2133.0,,1.0,103.0,69.0,34.0,3.0,,,,,,,
4/8/20,2246.0,,2.0,105.0,73.0,32.0,5.0,,,,,,,
4/9/20,2274.0,,2.0,107.0,76.0,31.0,5.0,,,,,,,
4/10/20,2290.0,,5.0,112.0,82.0,30.0,4.0,0.0,,,,,,
4/11/20,2403.0,,1.0,113.0,82.0,31.0,5.0,0.0,,,,,,
4/12/20,2408.0,,0.0,113.0,83.0,30.0,4.0,0.0,,,,,,
4/13/20,2419.0,,0.0,113.0,84.0,29.0,4.0,0.0,,,,,,
4/14/20,2506.0,,3.0,116.0,87.0,29.0,4.0,0.0,,,,,,
4/15/20,2546.0,,2.0,118.0,90.0,28.0,4.0,0.0,,,,,,
4/16/20,2606.0,,1.0,119.0,93.0,26.0,5.0,0.0,,,,,,
4/17/20,2785.0,,2.0,121.0,94.0,27.0,7.0,0.0,,,,,,
4/18/20,2808.0,,0.0,121.0,94.0,27.0,7.0,0.0,,,,,,
4/19/20,2820.0,,2.0,123.0,94.0,29.0,6.0,0.0,,,,,,
4/20/20,2897.0,,0.0,123.0,94.0,29.0,6.0,0.0,,,,,,
4/21/20,2947.0,,0.0,123.0,94.0,29.0,6.0,0.0,,,,,,
4/22/20,2996.0,,1.0,124.0,94.0,30.0,5.0,0.0,,,,,,
4/23/20,3056.0,,5.0,129.0,94.0,35.0,5.0,0.0,,,,,,
4/24/20,3095.0,,0.0,129.0,94.0,35.0,6.0,0.0,,,,,,
4/25/20,3104.0,,1.0,130.0,94.0,36.0,6.0,0.0,,,,,,
4/26/20,3104.0,,0.0,130.0,95.0,35.0,6.0,0.0,,,,,,
4/27/20,3212.0,,0.0,130.0,97.0,33.0,6.0,0.0,,,,,,
4/28/20,3299.0,,0.0,130.0,97.0,33.0,5.0,0.0,,,,,,
4/29/20,3391.0,,2.0,132.0,99.0,33.0,5.0,0.0,,,,,,
4/30/20,3578.0,,0.0,132.0,100.0,32.0,5.0,0.0,,,,,,
5/1/20,3578.0,,0.0,132.0,100.0,32.0,5.0,0.0,,,,,,
5/2/20,3755.0,,1.0,133.0,103.0,30.0,2.0,0.0,,,,,,
5/3/20,3767.0,,0.0,133.0,106.0,27.0,2.0,0.0,,,,,,
5/4/20,4016.0,,0.0,133.0,106.0,27.0,2.0,0.0,,,,,,
5/5/20,4468.0,,0.0,133.0,106.0,27.0,2.0,0.0,,,,,,
5/6/20,4510.0,,0.0,133.0,107.0,26.0,2.0,0.0,,,,,,
5/7/20,4587.0,,1.0,134.0,109.0,25.0,2.0,0.0,,,,,,
5/8/20,4702.0,,0.0,134.0,110.0,24.0,2.0,0.0,,,,,,
5/9/20,4712.0,,0.0,134.0,112.0,22.0,1.0,0.0,,,,,,
5/10/20,4723.0,,0.0,134.0,112.0,22.0,1.0,0.0,,,,,,
5/11/20,4834.0,,0.0,134.0,114.0,20.0,1.0,0.0,,,,,,
5/12/20,5022.0,,2.0,136.0,114.0,22.0,1.0,0.0,,,,,,
5/13/20,5265.0,,1.0,137.0,115.0,22.0,1.0,0.0,,,,,,
5/14/20,5694.0,,0.0,137.0,116.0,21.0,1.0,0.0,,,,,,
5/15/20,6316.0,,2.0,139.0,116.0,23.0,1.0,0.0,,,,,,
5/16/20,6355.0,,0.0,139.0,117.0,22.0,1.0,0.0,,,,,,
5/17/20,6378.0,,2.0,141.0,117.0,24.0,1.0,0.0,,,,,,
5/18/20,6624.0,,0.0,141.0,117.0,24.0,1.0,0.0,,,,,,
5/19/20,7047.0,,4.0,145.0,118.0,27.0,1.0,0.0,,,,,,
5/20/20,7047.0,,0.0,145.0,121.0,24.0,1.0,0.0,,,,,,
5/21/20,8221.0,,1.0,146.0,121.0,25.0,1.0,0.0,,,,,,
5/22/20,8221.0,,2.0,148.0,124.0,24.0,1.0,0.0,,,,,,
5/23/20,7850.0,,1.0,149.0,124.0,25.0,1.0,0.0,,,,,,
5/24/20,7863.0,,3.0,152.0,127.0,25.0,0.0,0.0,,,,,,
5/25/20,7875.0,,1.0,153.0,128.0,25.0,0.0,0.0,,,,,,
5/26/20,8313.0,,0.0,153.0,128.0,25.0,1.0,0.0,,,,,,
5/27/20,8535.0,,1.0,154.0,133.0,21.0,1.0,0.0,,,,,,
5/28/20,9071.0,,2.0,156.0,134.0,22.0,1.0,0.0,,,,,,
5/29/20,9288.0,,0.0,156.0,135.0,21.0,1.0,0.0,,,,,,
5/30/20,9288.0,,0.0,156.0,135.0,21.0,0.0,0.0,,,,,,
5/31/20,9749.0,,4.0,160.0,136.0,24.0,0.0,0.0,,,,,,
6/1/20,9773.0,,0.0,160.0,137.0,23.0,0.0,0.0,,,,,,
6/2/20,10050.0,,1.0,161.0,140.0,21.0,0.0,0.0,,,,,,
6/3/20,10271.0,,1.0,162.0,141.0,21.0,0.0,0.0,,,,,,
6/4/20,10649.0,,1.0,163.0,142.0,21.0,0.0,0.0,,,,,,
6/5/20,10960.0,,0.0,163.0,144.0,19.0,0.0,0.0,,,,,,
6/6/20,11385.0,,1.0,164.0,144.0,20.0,0.0,0.0,,,,,,
6/7/20,11506.0,,1.0,165.0,144.0,21.0,0.0,0.0,,,,,,
6/8/20,11542.0,,0.0,165.0,145.0,20.0,0.0,0.0,,,,,,
6/9/20,11768.0,,0.0,165.0,148.0,17.0,0.0,0.0,,,,,,
6/10/20,12105.0,,0.0,165.0,150.0,15.0,0.0,0.0,,,,,,
6/11/20,12322.0,,0.0,165.0,154.0,11.0,0.0,0.0,,,,,,
6/12/20,12508.0,,0.0,165.0,155.0,10.0,0.0,0.0,,,,,,
6/13/20,12724.0,,1.0,166.0,155.0,11.0,0.0,0.0,,,,,,
6/14/20,12818.0,,0.0,166.0,155.0,11.0,0.0,0.0,,,,,,
6/15/20,12833.0,,0.0,166.0,156.0,10.0,0.0,0.0,,,,,,
6/16/20,13129.0,,0.0,166.0,156.0,10.0,0.0,0.0,,,,,,
6/17/20,13402.0,,0.0,166.0,158.0,8.0,0.0,0.0,,,,,,
6/18/20,13428.0,,0.0,166.0,158.0,8.0,0.0,0.0,,,,,,
6/19/20,14289.0,,0.0,166.0,162.0,4.0,0.0,0.0,,,,,,
6/20/20,14561.0,,0.0,166.0,162.0,4.0,0.0,0.0,,,,,,
6/21/20,14650.0,,0.0,166.0,163.0,3.0,0.0,0.0,,,,,,
6/22/20,14658.0,,0.0,166.0,164.0,2.0,0.0,0.0,,,,,,
6/23/20,14996.0,,0.0,166.0,165.0,1.0,0.0,0.0,,,,,,
6/24/20,15222.0,,0.0,166.0,165.0,1.0,0.0,0.0,,,,,,
6/25/20,15430.0,,0.0,166.0,165.0,1.0,0.0,0.0,,,,,,
6/26/20,15647.0,,1.0,167.0,165.0,2.0,0.0,0.0,,,,,,
6/27/20,15843.0,,0.0,167.0,165.0,2.0,0.0,0.0,,,,,,
6/28/20,15883.0,,0.0,167.0,165.0,2.0,0.0,0.0,,,,,,
6/29/20,15889.0,,1.0,168.0,165.0,3.0,0.0,0.0,,,,,,
6/30/20,16191.0,,0.0,168.0,165.0,3.0,0.0,0.0,,,,,,
7/1/20,16488.0,,0.0,168.0,165.0,3.0,0.0,0.0,,,,,,
7/2/20,16718.0,,0.0,168.0,166.0,2.0,0.0,0.0,,,,,,
7/3/20,17064.0,,0.0,168.0,167.0,1.0,0.0,0.0,,,,,,
7/4/20,17078.0,,0.0,168.0,167.0,1.0,0.0,0.0,,,,,,
7/5/20,17078.0,,0.0,168.0,167.0,1.0,0.0,0.0,,,,,,
7/6/20,17108.0,,0.0,168.0,167.0,1.0,0.0,0.0,,,,,,
7/7/20,17529.0,,1.0,169.0,167.0,2.0,0.0,0.0,,,,,,
7/8/20,17842.0,,0.0,169.0,167.0,2.0,0.0,0.0,,,,,,
7/9/20,17960.0,,0.0,169.0,167.0,2.0,0.0,0.0,,,,,,
7/10/20,18289.0,,3.0,172.0,167.0,5.0,0.0,0.0,,,,,,
7/11/20,18580.0,,1.0,173.0,167.0,6.0,0.0,0.0,,,,,,
7/12/20,18625.0,,2.0,175.0,167.0,8.0,0.0,0.0,,,,,,
7/13/20,18640.0,,1.0,176.0,167.0,9.0,0.0,0.0,,,,,,
7/14/20,19063.0,,10.0,186.0,169.0,17.0,0.0,0.0,,,,,,
7/15/20,19484.0,,7.0,193.0,169.0,24.0,0.0,0.0,,,,,,
7/16/20,19798.0,,0.0,193.0,170.0,23.0,0.0,0.0,,,,,,
7/17/20,20324.0,,1.0,194.0,170.0,24.0,0.0,0.0,,,,,,
7/18/20,20622.0,,4.0,198.0,170.0,28.0,0.0,0.0,,,,,,
7/19/20,20635.0,,4.0,202.0,170.0,32.0,0.0,0.0,,,,,,
7/20/20,20645.0,,0.0,202.0,170.0,32.0,3.0,0.0,,,,,,
7/21/20,20811.0,,1.0,203.0,170.0,33.0,4.0,0.0,,,,,,
7/22/20,21637.0,,3.0,206.0,171.0,35.0,2.0,0.0,,,,,,
7/23/20,22072.0,,5.0,211.0,172.0,39.0,0.0,0.0,,,,,,
7/24/20,22478.0,,4.0,215.0,176.0,39.0,0.0,0.0,,,,,,
7/25/20,22881.0,,2.0,217.0,182.0,35.0,0.0,0.0,,,,,,
7/26/20,22898.0,,1.0,218.0,184.0,34.0,0.0,0.0,,,,,,
7/27/20,22907.0,,1.0,219.0,187.0,32.0,0.0,0.0,,,,,,
7/28/20,23276.0,,0.0,219.0,188.0,31.0,0.0,0.0,,,,,,
7/29/20,23683.0,,1.0,220.0,188.0,32.0,0.0,0.0,,,,,,
7/30/20,24042.0,,2.0,222.0,189.0,33.0,0.0,0.0,,,,,,
7/31/20,24650.0,,0.0,222.0,194.0,28.0,0.0,0.0,,,,,,
8/1/20,24824.0,,2.0,224.0,198.0,26.0,0.0,0.0,,,,,,
8/2/20,24891.0,,0.0,224.0,199.0,25.0,0.0,0.0,,,,,,
8/3/20,24919.0,,2.0,226.0,200.0,26.0,0.0,0.0,,,,,,
8/4/20,25331.0,,0.0,226.0,201.0,25.0,0.0,0.0,,,,,,
8/5/20,26092.0,,2.0,228.0,202.0,26.0,0.0,0.0,,,,,,
8/6/20,26322.0,,0.0,228.0,207.0,21.0,0.0,0.0,,,,,,
8/7/20,27441.0,,1.0,229.0,210.0,19.0,0.0,0.0,,,,,,
8/8/20,27701.0,,0.0,229.0,216.0,13.0,0.0,0.0,,,,,,
8/9/20,27708.0,,0.0,229.0,217.0,12.0,0.0,0.0,,,,,,
8/10/20,27715.0,,1.0,230.0,217.0,13.0,0.0,0.0,,,,,,
8/11/20,27846.0,,0.0,230.0,219.0,11.0,0.0,0.0,,,,,,
8/12/20,29450.0,,0.0,230.0,222.0,8.0,0.0,0.0,,,,,,
8/13/20,30447.0,,3.0,233.0,224.0,9.0,0.0,0.0,,,,,,
8/14/20,31527.0,,1.0,234.0,226.0,8.0,0.0,0.0,,,,,,
8/15/20,32176.0,,1.0,235.0,229.0,6.0,0.0,0.0,,,,,,
8/16/20,32234.0,,0.0,235.0,230.0,5.0,0.0,0.0,,,,,,
8/17/20,32711.0,,0.0,235.0,230.0,5.0,0.0,0.0,,,,,,
8/18/20,34104.0,,1.0,236.0,230.0,6.0,0.0,0.0,,,,,,
8/19/20,36135.0,,1.0,237.0,230.0,7.0,0.0,0.0,,,,,,
8/20/20,38234.0,,2.0,239.0,232.0,7.0,0.0,0.0,,,,,,
8/21/20,39877.0,,0.0,239.0,232.0,7.0,0.0,0.0,,,,,,
8/22/20,40937.0,,2.0,241.0,234.0,7.0,0.0,0.0,,,,,,
8/23/20,40937.0,,0.0,241.0,234.0,7.0,0.0,0.0,,,,,,
8/24/20,42165.0,,1.0,242.0,234.0,8.0,0.0,0.0,,,,,,
8/25/20,44219.0,,2.0,244.0,234.0,10.0,0.0,0.0,,,,,,
8/26/20,46661.0,,0.0,244.0,234.0,10.0,0.0,0.0,,,,,,
8/27/20,48218.0,,2.0,246.0,235.0,11.0,0.0,0.0,,,,,,
8/28/20,51036.0,,9.0,255.0,237.0,18.0,0.0,0.0,,,,,,
8/29/20,53166.0,,2.0,257.0,239.0,18.0,0.0,0.0,,,,,,
8/30/20,54451.0,,1.0,258.0,239.0,19.0,0.0,0.0,,,,,,
8/31/20,54457.0,,6.0,264.0,239.0,25.0,0.0,0.0,,,,,,
9/1/20,55316.0,,9.0,273.0,241.0,32.0,0.0,0.0,,,,,,
9/2/20,56707.0,,25.0,298.0,241.0,57.0,0.0,0.0,,,,,,
9/3/20,58299.0,,5.0,303.0,242.0,61.0,0.0,0.0,,,,,,
9/4/20,62449.0,,12.0,315.0,245.0,70.0,0.0,0.0,,,,,,
9/5/20,68859.0,,12.0,327.0,245.0,82.0,0.0,0.0,,,,,,
9/6/20,72252.0,,10.0,337.0,249.0,88.0,0.0,0.0,,,,,,
9/7/20,75159.0,,3.0,340.0,254.0,86.0,0.0,0.0,,,,,,
9/8/20,80202.0,,3.0,343.0,263.0,80.0,0.0,0.0,,,,,,
9/9/20,85395.0,,16.0,359.0,271.0,88.0,0.0,0.0,,,,,,
9/10/20,89803.0,,5.0,364.0,278.0,86.0,0.0,0.0,,,,,,
9/11/20,95797.0,,7.0,371.0,292.0,79.0,0.0,0.0,,,,,,
9/12/20,101514.0,,6.0,377.0,310.0,67.0,0.0,0.0,,,,,,
9/13/20,101515.0,,1.0,378.0,323.0,55.0,0.0,0.0,,,,,,
9/14/20,107290.0,,2.0,380.0,330.0,50.0,0.0,0.0,,,,,,
9/15/20,113511.0,,3.0,383.0,344.0,39.0,0.0,0.0,,,,,,
9/16/20,119530.0,,1.0,384.0,346.0,38.0,0.0,0.0,,,,,,
9/17/20,125452.0,,2.0,386.0,352.0,34.0,0.0,0.0,,,,,,
9/18/20,130851.0,,4.0,390.0,357.0,33.0,1.0,0.0,,,,,,
9/19/20,136184.0,,3.0,393.0,364.0,29.0,1.0,0.0,,,,,,
9/20/20,139159.0,,1.0,394.0,369.0,25.0,1.0,0.0,,,,,,
9/21/20,142199.0,,1.0,395.0,375.0,20.0,0.0,0.0,,,,,,
9/22/20,148002.0,,4.0,399.0,378.0,21.0,0.0,0.0,,,,,,
9/23/20,154077.0,,3.0,402.0,380.0,22.0,0.0,0.0,,,,,,
9/24/20,160378.0,,1.0,403.0,380.0,23.0,0.0,0.0,,,,,,
9/25/20,166411.0,,1.0,404.0,383.0,21.0,0.0,0.0,,,,,,
9/26/20,172354.0,,4.0,408.0,388.0,20.0,0.0,0.0,,,,,,
9/27/20,174974.0,,1.0,409.0,391.0,18.0,0.0,0.0,,,,,,
9/28/20,178681.0,,1.0,410.0,394.0,16.0,0.0,0.0,,,,,,
9/29/20,185305.0,,4.0,414.0,397.0,17.0,0.0,0.0,,,,,,
9/30/20,191887.0,,4.0,418.0,397.0,21.0,0.0,0.0,,,,,,
10/1/20,198266.0,,4.0,422.0,401.0,21.0,0.0,0.0,,,,,,
10/2/20,204720.0,,8.0,430.0,402.0,28.0,0.0,0.0,,,,,,
10/3/20,209804.0,,2.0,432.0,402.0,30.0,0.0,0.0,,,,,,
10/4/20,214070.0,,3.0,435.0,402.0,33.0,0.0,0.0,,,,,,
10/5/20,216965.0,,5.0,440.0,408.0,32.0,0.0,0.0,,,,,,
10/6/20,223474.0,,5.0,445.0,412.0,33.0,2.0,0.0,,,,,,
10/7/20,230067.0,,5.0,450.0,412.0,38.0,2.0,0.0,,,,,,
10/8/20,236430.0,,4.0,454.0,413.0,41.0,2.0,0.0,,,,,,
10/9/20,242564.0,,3.0,457.0,419.0,38.0,2.0,0.0,,,,,,
10/10/20,248845.0,,2.0,459.0,424.0,35.0,2.0,0.0,,,,,,
10/11/20,251586.0,,5.0,464.0,428.0,36.0,2.0,0.0,,,,,,
10/12/20,254532.0,,11.0,475.0,433.0,41.0,3.0,1.0,,,,,,
10/13/20,261040.0,,7.0,482.0,436.0,45.0,3.0,1.0,,,,,,
10/14/20,267422.0,,7.0,489.0,441.0,47.0,4.0,1.0,,,,,,
10/15/20,273785.0,,5.0,494.0,448.0,45.0,4.0,1.0,,,,,,
10/16/20,280021.0,,14.0,508.0,451.0,56.0,4.0,1.0,,,,,,
10/17/20,284100.0,,8.0,516.0,459.0,56.0,5.0,1.0,,,,,,
10/18/20,289136.0,,11.0,527.0,465.0,61.0,5.0,1.0,,,,,,
10/19/20,292249.0,,4.0,531.0,471.0,59.0,9.0,1.0,,,,,,
10/20/20,298840.0,,7.0,538.0,475.0,62.0,8.0,1.0,,,,,,
10/21/20,305480.0,,16.0,554.0,477.0,76.0,9.0,1.0,,,,,,
10/22/20,311965.0,,13.0,567.0,479.0,87.0,7.0,1.0,,,,,,
10/23/20,317129.0,,8.0,575.0,488.0,86.0,6.0,1.0,,,,,,
10/24/20,324682.0,,8.0,583.0,495.0,87.0,3.0,1.0,,,,,,
10/25/20,327755.0,,12.0,595.0,507.0,87.0,5.0,1.0,,,,,,
10/26/20,329466.0,,3.0,598.0,518.0,79.0,7.0,1.0,,,,,,
10/27/20,335977.0,,5.0,603.0,533.0,69.0,7.0,1.0,,,,,,
10/28/20,342788.0,,9.0,612.0,541.0,70.0,6.0,1.0,,,,,,
10/29/20,349296.0,,10.0,622.0,544.0,77.0,4.0,1.0,,,,,,
10/30/20,355996.0,,7.0,629.0,558.0,70.0,2.0,1.0,,,,,,
10/31/20,362258.0,,8.0,637.0,572.0,64.0,4.0,1.0,,,,,,
11/1/20,365125.0,,6.0,643.0,577.0,65.0,3.0,1.0,,,,,,
11/2/20,368132.0,,3.0,646.0,589.0,56.0,4.0,1.0,,,,,,
11/3/20,374966.0,,1.0,647.0,599.0,47.0,4.0,1.0,,,,,,
11/4/20,381688.0,,7.0,654.0,606.0,47.0,5.0,1.0,,,,,,
11/5/20,388130.0,,7.0,661.0,613.0,47.0,5.0,1.0,,,,,,
11/6/20,392969.0,,6.0,667.0,616.0,50.0,4.0,1.0,,,,,,
11/7/20,401081.0,,9.0,676.0,623.0,52.0,3.0,1.0,,,,,,
11/8/20,401093.0,,12.0,688.0,627.0,60.0,4.0,1.0,,,,,,
11/9/20,406876.0,,2.0,690.0,632.0,57.0,5.0,1.0,,,,,,
11/10/20,413860.0,,9.0,699.0,635.0,63.0,8.0,1.0,,,,,,
11/11/20,420734.0,,19.0,718.0,644.0,73.0,9.0,1.0,,,,,,
11/12/20,427368.0,,30.0,748.0,646.0,101.0,10.0,1.0,,,,,,
11/13/20,433861.0,,23.0,771.0,653.0,117.0,10.0,1.0,,,,,,
11/14/20,440363.0,,20.0,791.0,663.0,127.0,4.0,1.0,,,,,,
11/15/20,443449.0,,17.0,808.0,665.0,142.0,4.0,1.0,,,,,,
11/16/20,446278.0,,6.0,814.0,678.0,135.0,7.0,1.0,,,,,,
11/17/20,452890.0,,9.0,823.0,688.0,134.0,6.0,1.0,,,,,,
11/18/20,459386.0,,11.0,834.0,696.0,137.0,5.0,1.0,,,,,,
11/19/20,465685.0,,18.0,852.0,707.0,144.0,6.0,1.0,,,,,,
11/20/20,471551.0,,38.0,890.0,731.0,158.0,7.0,1.0,,,,,,
11/21/20,480145.0,,23.0,913.0,762.0,150.0,7.0,1.0,,,,,,
11/22/20,482528.0,,25.0,938.0,804.0,133.0,5.0,1.0,,,,,,
11/23/20,484840.0,,11.0,949.0,819.0,129.0,4.0,1.0,,,,,,
11/24/20,490876.0,,18.0,967.0,836.0,130.0,8.0,1.0,,,,,,
11/25/20,495348.0,,35.0,1002.0,868.0,133.0,5.0,1.0,,,,,,
11/26/20,501001.0,,25.0,1027.0,872.0,154.0,4.0,1.0,,,,,,
11/27/20,503174.0,,31.0,1058.0,882.0,175.0,2.0,1.0,,,,,,
11/28/20,506514.0,,29.0,1087.0,896.0,188.0,6.0,3.0,,,,,,
11/29/20,507714.0,,13.0,1100.0,917.0,179.0,9.0,4.0,,,,,,
11/30/20,509126.0,,29.0,1129.0,932.0,193.0,10.0,4.0,,,,,,
12/1/20,512035.0,1336.0,34.0,1163.0,940.0,219.0,5.0,4.0,,,,,,
12/2/20,512061.0,2899.0,26.0,1189.0,959.0,226.0,4.0,4.0,,,,,,
12/3/20,512600.0,3461.0,23.0,1212.0,975.0,233.0,5.0,4.0,,,,,,
12/4/20,516504.0,2485.0,38.0,1250.0,995.0,251.0,3.0,4.0,,,,,,
12/5/20,520930.0,2865.0,24.0,1274.0,1013.0,257.0,4.0,4.0,,,,,,
12/6/20,521276.0,3166.0,25.0,1299.0,1053.0,242.0,4.0,4.0,,,,,,
12/7/20,521748.0,707.0,61.0,1360.0,1062.0,293.0,4.0,5.0,,,,,,
12/8/20,521770.0,828.0,22.0,1382.0,1090.0,287.0,10.0,5.0,,,,,,
12/9/20,530123.0,4605.0,26.0,1408.0,1112.0,291.0,10.0,5.0,,,,,,
12/10/20,533569.0,3234.0,27.0,1435.0,1125.0,305.0,9.0,5.0,,,,,,
12/11/20,537302.0,3501.0,47.0,1482.0,1156.0,321.0,12.0,5.0,,,,,,
12/12/20,539631.0,3085.0,33.0,1515.0,1202.0,307.0,8.0,6.0,,,,,,
12/13/20,542150.0,436.0,30.0,1545.0,1231.0,308.0,8.0,6.0,,,,,,
12/14/20,542280.0,130.0,23.0,1568.0,1273.0,289.0,13.0,6.0,,,,,,
12/15/20,542775.0,495.0,25.0,1593.0,1315.0,272.0,12.0,6.0,,,,,,
12/16/20,545567.0,2792.0,33.0,1626.0,1360.0,260.0,12.0,6.0,,,,,,
12/17/20,548753.0,3186.0,37.0,1663.0,1398.0,259.0,11.0,6.0,,,,,,
12/18/20,551590.0,2837.0,20.0,1683.0,1429.0,248.0,9.0,6.0,,,,,,
12/19/20,554093.0,2503.0,51.0,1734.0,1476.0,252.0,10.0,6.0,,,,,,
12/20/20,557905.0,3812.0,18.0,1752.0,1494.0,252.0,14.0,6.0,,,,,,
12/21/20,558417.0,512.0,15.0,1767.0,1534.0,221.0,12.0,12.0,,,,,,
12/22/20,559110.0,693.0,30.0,1797.0,1569.0,216.0,13.0,12.0,,,,,,
12/23/20,561784.0,2674.0,30.0,1827.0,1595.0,219.0,14.0,13.0,,,,,,
12/24/20,564374.0,2590.0,43.0,1870.0,1619.0,238.0,16.0,13.0,,,,,,
12/25/20,566307.0,1933.0,37.0,1907.0,1642.0,252.0,16.0,13.0,,,,,,
12/26/20,566516.0,209.0,6.0,1913.0,1672.0,228.0,24.0,13.0,,,,,,
12/27/20,566808.0,292.0,21.0,1934.0,1696.0,225.0,26.0,13.0,,,,,,
